Molecule ChEMBL ID,SMILES,Standard Type,Standard Relation,Standard Value,Standard Units,Mw,logP,HBd,HBa,Max_ring_size,ro5_ok,ro5_count,Cluster
CHEMBL512719,Cc1cccc(C)c1NC(=O)c1cc2ccccc2oc1=O,IC50,'=',9790.0,nM,293.10519334,3.6621400000000017,1,4,6,True,4,326
CHEMBL3901082,C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)C1CCN(Cc2ccccc2)CC1,IC50,'=',10200.0,nM,424.226311516,4.179980000000003,1,5,6,True,4,327
CHEMBL3972214,C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CC1CCN(Cc2ccccc2)CC1,IC50,'=',12200.0,nM,438.24196158,4.570080000000004,1,5,6,True,4,327
CHEMBL3910142,C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1,IC50,'=',1100.0,nM,452.257611644,4.960180000000005,1,5,6,True,4,327
CHEMBL4466686,Cc1cc(=O)oc2cc(OCC3CCN(Cc4ccc(CO)cc4)CC3)ccc12,IC50,'=',11000.0,nM,393.194008344,3.8847200000000033,1,5,6,True,4,328
CHEMBL3407581,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C,IC50,'=',6.3,nM,457.309312868,5.622920000000006,0,4,6,False,3,329
CHEMBL3407588,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccc(OC)c5ncccc45)CC3)ccc2n1C,IC50,'=',10300.0,nM,524.31512652,5.871300000000007,0,6,6,False,2,329
CHEMBL3407582,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccc(OC(=O)N(C)C)c5ncccc45)CC3)ccc2n1C,IC50,'=',257.6,nM,581.3365902359999,5.923100000000007,0,8,6,False,2,329
CHEMBL4582207,Cn1c(=O)c2c(nc3n2CCN(CCCc2ccc(Cl)cc2)C3)n(C)c1=O,IC50,'>',10000.0,nM,387.14620262399995,1.5354999999999999,0,7,6,True,4,330
CHEMBL4567470,Cn1c(=O)c2c(nc3n2CCN(CCCc2cccc(Br)c2)C3)n(C)c1=O,IC50,'>',10000.0,nM,431.095687044,1.6445999999999996,0,7,6,True,4,330
CHEMBL4070309,Cn1ncc2cc(C(=O)Nc3ccc(F)c(F)c3)ccc21,IC50,'>',10000.0,nM,287.087018412,3.1038000000000014,1,4,6,True,4,331
CHEMBL4061639,Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21,IC50,'=',0.6607,nM,303.057467872,3.618100000000002,1,4,6,True,4,331
CHEMBL3319256,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,IC50,'=',0.389,nM,319.027917332,4.132400000000002,1,4,6,True,4,331
CHEMBL4086218,Cc1cc(=O)oc2cc(OCCN3CCN(Cc4ccc(Br)cc4)CC3)ccc12,IC50,'>',10000.0,nM,456.1048547600001,4.060520000000003,0,5,6,True,4,332
CHEMBL4104128,Cc1c(Cl)c(=O)oc2cc(OCCN3CCN(Cc4ccc(Br)cc4)CC3)ccc12,IC50,'>',10000.0,nM,490.065882408,4.713920000000004,0,5,6,True,4,332
CHEMBL4061479,O=c1cc(C(F)(F)F)c2ccc(OCCN3CCN(Cc4ccc(Br)cc4)CC3)cc2o1,IC50,'>',10000.0,nM,510.076589324,4.770900000000005,0,5,6,False,3,332
CHEMBL4474165,Cn1c(=O)c2c(nc3n2CCN(CCn2cccc2)C3)n(C)c1=O,IC50,'>',10000.0,nM,328.16477388,-0.24899999999999944,0,8,6,True,4,333
CHEMBL4449481,Cn1c(=O)c2c(nc3n2CCN(CCCn2cccc2)C3)n(C)c1=O,IC50,'>',10000.0,nM,342.180423944,0.14109999999999934,0,8,6,True,4,333
